"Item Name","Quantity","Cost Price","Selling Price","Expected Profit"
"Bonnisan syrup","50","40.00","43.00","150.00"
"borges oil 125ml","44","42.00","44.00","88.00"
"BP MACHINE","48","0.00","350.00","16,800.00"
"broncholin (sabutamol) syrup","60","4.50","10.00","330.00"
"Broncholin Syrup","104","2.20","4.50","239.20"
"Broncholin Tablet (Letap)","670","0.75","0.90","100.50"
"BX Syrup(100ml)","999","0.00","13.00","12,987.00"
"BX Syrup(200ml)","15","0.00","17.00","255.00"
"C-Pheniramine Syrup","10","15.00","0.00","-150.00"
"CAFALGIN SYRUP","90","10.30","12.00","153.00"
"CAFALGIN TAB","543","1.72","1.90","97.74"
"Cafaprin Tab","800","0.80","1.00","160.00"
"CAFERGOT TAB","5","98.00","110.00","60.00"
"Calamin lotion","56","8.00","10.00","112.00"
"CALAMINE LOTION(ROCKMAN)","14","10.00","12.00","28.00"
"CALAMINE OINT( DANNEX)","13","15.20","17.00","23.40"
"calcium b12 suspension","219","5.00","7.00","438.00"
"Camel Antiseptic 250ml","56","21.60","23.00","78.40"
"Camel Anteseptic 125ml","84","12.16","13.50","112.56"
"CANALEX CLOTRIMAZOL","1000","0.00","8.00","8,000.00"
"CARBAMAZEPIN 200 TAB(PSYCO REMEDIES)","20","8.40","9.00","12.00"
"carbamazepine 200 mg (vega) tab","70","0.00","12.00","840.00"
"Carbocistene Syrup(tobinco)","1","15.00","0.00","-15.00"
"CARFEGOT TAB","5","98.00","130.00","160.00"
"Cartef 20/129mg Tablets","7","10.00","0.00","-70.00"
"CARVDILOL 12.5MG TAB","12","27.80","35.00","86.40"
"Castor oil","12","33.00","36.00","36.00"
"cat 200","1000","3.30","4.00","700.00"
"Cebrotonin tab 800mg","25","220.00","300.00","2,000.00"
"Cedarex Tonic","60","28.00","30.00","120.00"
"CEFTRIAXON (ROXON INJ)","540","5.40","8.00","1,404.00"
"Ceftriaxone inj( GB PHARMA)","118","5.68","8.00","273.76"
"Cefuroxime 500 tab(cefuket)","557","30.00","35.00","2,785.00"
"Cefuroxime susp(cefuket)","341","16.00","19.00","1,023.00"
"celecoxib 200mg tab macleods","18","15.00","18.00","54.00"
"CELECOXIB(EXTER)","81","15.00","17.00","162.00"
"Centone Syrup","22","0.00","19.00","418.00"
"Centone Tablets","194","0.00","4.00","776.00"
"CHARCOL POWDER","40","16.00","18.00","80.00"
"child care ascorbin vitamin c tab","11975","0.25","0.35","1,197.50"
"child care cough cold","175","4.76","6.00","217.00"
"child care ibuprofen suspension","2000","0.00","4.50","9,000.00"
"Child Care Night Rest Susp","104","4.10","6.00","197.60"
"Childcare Brufen Syrup","958","3.50","4.50","958.00"
"Childcare Cough & Cold","155","4.60","6.00","217.00"
"CHILDCARE VITAMINE C SYRUP","48","3.50","4.50","48.00"
"chilly gel big","15","80.00","85.00","75.00"
"CHILLY GEL S/S","27","65.00","70.00","135.00"
"chiloramphenicol suspension letap","60","7.25","9.00","105.00"
"CHLORAMPHENICOL EYE DROP (CHOPE)","40","4.80","6.00","48.00"
"CHLORAMPHENICOL CAPS LETAP","1089","3.10","3.60","544.50"
"chloramphenicol eye drop (Roxin Ghana)","180","5.00","6.00","180.00"
"chloramphenicol eye drop(karen)","0","4.50","6.00","0.00"
"chloramphenicol Eye drop/rogophen","1968","5.00","6.00","1,968.00"
"Chloramphenicol Susp","989","5.66","9.00","3,303.26"
"CHLORDIAZEPOXIDE CAPS/LIBRIUM(LETAP)","420","1.20","1.50","126.00"
"chlorpheniramine 4mg tablets","970","0.25","0.35","97.00"
"chocho cream big","28","15.80","18.00","61.60"
"chocho creme (s/s","59","8.20","9.50","76.70"
"CHOCHO SKIN TONER","1996","0.00","12.00","23,952.00"
"chocho soap","49","8.20","9.50","63.70"
"CIPRO EYE DROP","33","5.00","7.00","66.00"
"Ciprofloxacillin 500mg tab (Moon Pharma)","934","4.50","6.50","1,868.00"
"CIPROFLOXACIN SUSP(XIN A)","30","60.00","65.00","150.00"
"Ciprolex D E/E DROP 10ML","5","28.50","33.00","22.50"
"CIPROLEX EYE OINT","30","22.00","25.00","90.00"
"Ciprolex tab","43","23.00","26.00","129.00"
"CIPROLEX TZ TAB","50","48.00","53.00","250.00"
"Cirotamin Syrup","2","0.00","23.00","46.00"
"Cistocarb 2% Syrup","10","15.00","0.00","-150.00"
"citalopram 10mg","5","14.50","19.00","22.50"
"CITRO C TAB","1240","2.38","2.60","272.80"
"citro- c syrup","128","10.80","13.00","281.60"
"City Blood Tonic","195","29.00","32.00","585.00"
"CITY MULTIVITAMIN DROP","137","24.98","27.00","276.74"
"CLARITHROMYCIN 500MG(MOON PHARMACY)","30","38.00","43.00","150.00"
"CLINDAMYCIN 3OOMG CAPS(ESKAY THERAPEAUTICS)","177","9.80","12.00","389.40"
"Clodol 100mg Tab","50","0.00","2.80","140.00"
"Clodol 50mg Tablet","126","0.00","1.70","214.20"
"Clodol gel","81","8.00","9.00","81.00"
"CLOPIDOGREL 75MG TAB/TORRENT PHARMA","10","28.00","35.00","70.00"
"Cloxacillin Capsules Letap","10","4.00","0.00","-40.00"
"Coa mixture","24","70.00","80.00","240.00"
"COARTEM 80/480 TAB","16","69.00","75.00","96.00"
"cod liver iol sry(blue aid)","16","43.00","47.00","64.00"
"cod liver oil caps","66","3.00","4.00","66.00"
"Cod Voa Cream (Red)","80","0.00","13.00","1,040.00"
"col-col tab","16","6.00","7.00","16.00"
"COLDIRON SYROP","50","20.50","23.00","125.00"
"Coldrid syrup","98","10.20","12.50","225.40"
"Coldrid tabs","726","0.95","1.20","181.50"
"coldrilf syrup","18","10.00","12.00","36.00"
"Coldrilif caps","381","5.76","6.80","396.24"
"colgate chacoal toothpaste","0","13.00","15.00","0.00"
"COLODIUM","3498","0.40","0.60","699.60"
"coludium (ascort pharmacy)","500","1.35","1.80","225.00"
"Comit 100 Orange jelly","822","3.50","3.50","0.00"
"Commit 50","8","20.00","20.00","0.00"
"Contiflo xl tab","12","32.00","37.00","60.00"
"Contra-72 Tablets","200","3.65","4.50","170.00"
"COOL EYES DROP","20","57.00","62.00","100.00"
"Cororange Capsules","10","25.00","0.00","-250.00"
"CORORANGE DROP","46","16.00","19.00","138.00"
"Cororange Syr","2","0.00","23.00","46.00"
"Cotton Wool 20g loose","999","2.50","3.00","499.50"
"COTTON WOOL 100G","74","11.70","13.00","96.20"
"cotton wool 500g (letap)","79","27.00","35.00","632.00"
"Cotton Wool 500g (Moon Pharmacy)","96","0.00","45.00","4,320.00"
"cotton wool 50g","250","6.30","7.50","300.00"
"crep bandage 4inch (white) moon pharmacy","40","5.00","6.00","40.00"
"CREPE BANDAGE 3INCH /ASCOT PHARMACY","302","4.50","6.50","604.00"
"CREPE BANDAGE 4INCH /ASCOT PHARMACY","229","5.40","7.50","480.90"
"CREPE BANDAGE 4INCH/ MOON PHARMACY","128","8.00","10.00","256.00"
"CREPE BANDAGE 6INCH /ASCOT PHARMACY","216","7.20","9.50","496.80"
"CREPE BANDAGE 6INCH(WHITE) MOON PHARMACY","88","7.50","9.00","132.00"
"CREPE BANDAGE 6INCH/ MOON PHARMACY","66","10.00","12.00","132.00"
"Cryprona Syrup(200ml)","10","18.00","0.00","-180.00"
"Crystalline INJ","150","1.80","2.50","105.00"
"cyclogest 400mg pess","45","27.20","35.00","351.00"
"Cyfen Syrup","79","24.00","28.00","316.00"
"Cyfen Tablets","254","2.60","3.50","228.60"
"CYNGLOBIN SYRUP","30","19.00","22.00","90.00"
"Cypep Forte Syrup","10","0.00","42.00","420.00"
"Cypon Syr","10","0.00","17.00","170.00"
"Cyprodine Syr","1000","0.00","105.00","105,000.00"
"Cyprondine Capsules","10","85.00","0.00","-850.00"
"Cypronil Syrup","6","14.00","16.00","12.00"
"Cyproronavit Syrup(200ml)","10","18.00","0.00","-180.00"
"d n s infusion letap","24","9.00","12.00","72.00"
"Dank Gastrocare Mixture","6","0.00","25.00","150.00"
"Dank Phytocare Herbal Mixture","21","20.00","22.00","42.00"
"Dank Procare Herbal Mixture","4","22.00","22.00","0.00"
"Dank Xtrock","17","20.00","22.00","34.00"
"Daud 360 Capsules","49","26.00","28.00","98.00"
"day by day oint s/s","1000","6.60","8.00","1,400.00"
"DAY BY DAY OITN","994","0.00","11.00","10,934.00"
"DC MOL","990","0.00","3.50","3,465.00"
"Delay Man Capsules","15","20.00","22.00","30.00"
"Dermiron Plus cream","169","5.20","7.00","304.20"
"DEWORM 500 TAB","400","4.50","5.50","400.00"
"DEXA","999","0.00","55.00","54,945.00"
"Dexone Tablet (Letap)","331","2.50","3.00","165.50"
"Dexorange Syr","19","39.50","42.00","47.50"
"Diamond Condom","1137","0.00","0.96","1,091.52"
"diazepam 10mg tab","7910","0.40","0.50","791.00"
"Diazepam 5mg","4798","0.00","0.40","1,919.20"
"DICLO DANK TAB 100MG","50","29.90","33.00","155.00"
"Diclo inj (clodol inj)","764","0.90","1.50","458.40"
"Diclo inj (Ronfenac inj)","1789","0.95","1.30","626.15"
"Diclo Supp(rufenac)","80","11.00","13.00","160.00"
"Diclofenac 100mg tab (Pokupharma)","669","3.36","3.90","361.26"
"Diclofenac 50mg Capsules(Ernest Chemist)","19","1.80","1.80","0.00"
"Diclofenac 50mg Capsules(Pokupharma)","10","3.50","0.00","-35.00"
"Diclokin Tablet","10","7.00","0.00","-70.00"
"Dicloles supp","230","1.80","2.10","69.00"
"Diclolex Plus TAB","540","10.00","12.00","1,080.00"
"Diclolex power heat gel","74","11.00","13.00","148.00"
"Diclolex- 100mg Tablets","614","0.00","3.00","1,842.00"
"DICLONOVA GEL","15","5.00","7.00","30.00"
"Dicnac 100mg Tabs","0","0.00","3.00","0.00"
"Dicnac SR 75mg Capsules (Tobinco)","10","15.00","0.00","-150.00"
"DICNAC SUPP 100MG","304","10.20","12.00","547.20"
"Dipex Capsules","1079","3.58","4.00","453.18"
"Dipoosin Cream","10","10.00","0.00","-100.00"
"DIPROSON LOTION","24","6.50","7.50","24.00"
"DITHRANOL OINT","40","14.96","16.00","41.60"
"divine h mix","5","28.00","30.00","10.00"
"DNS Inf 500ml","22","9.00","12.00","66.00"
"Dolonol Tablet","10","4.00","0.00","-40.00"
"Doloplus Tablets","200","2.50","2.80","60.00"
"Dolotab Tablet","170","2.75","3.00","42.50"
"donac herbal mix","47","22.00","25.00","141.00"
"DORETA TAB 37.5/325MG","15","100.00","110.00","150.00"
"doxycycline caps letap","692","1.80","3.00","830.40"
"dr cote,d voir green","54","11.80","12.50","37.80"
"dr cote,d voir red","741","12.50","14.00","1,111.50"
"DRAGON SPRAY","88","39.00","45.00","528.00"
"Drez oint 10g","7","24.00","26.00","14.00"
"drez oint 30g","25","35.00","37.00","50.00"
"Drez powder","46","21.71","24.00","105.34"
"drez solution 100ml","36","40.71","44.00","118.44"
"drez solution 30ml","10","23.60","25.00","14.00"
"Durol Syrup (200ml)","36","18.27","20.00","62.28"
"Durol Tonic 300ml","25","24.86","26.00","28.50"
"Dwomo Herbal Mixture(Big)","86","20.00","22.00","172.00"
"Dwomo Herbal Mixture(Small)","8","11.00","11.00","0.00"
"Dwomoh Capsules","78","22.00","22.00","0.00"
"Dymol Tablets","10","15.00","0.00","-150.00"
"Dynewell Syrup","718","6.10","7.00","646.20"
"Dynewell Tablets","488","0.33","0.40","34.16"
"E-Man Capsules","6","30.00","30.00","0.00"
"E-Panol Syrup","8","10.00","12.00","16.00"
"Ear drop/rogophen","4970","5.00","6.00","4,970.00"
"EARNEST OINT","350","7.00","8.50","525.00"
"Ebony Condom","143","5.00","6.50","214.50"
"Ebony Plus Condom","10","10.00","0.00","-100.00"
"EFICEF 200 TAB(CEFIXIME )","20","19.00","25.00","120.00"
"Efpac Junior Syrup","27","11.90","14.00","56.70"
"EFPAC TAB","869","2.15","2.34","165.11"
"Ekuro Bewu","136","0.00","2.50","340.00"
"Emgi Lintus Adult","10","15.00","0.00","-150.00"
"emgiclinda300mg caps","187","7.82","12.00","781.66"
"Emgikof Lozenges","149","0.00","4.50","670.50"
"Enafen Syrup(ernest chemist)","65","10.80","13.00","143.00"
"ENAMYCIN SUSP","30","17.80","22.00","126.00"
"ENOXAPARIN SODIUM INJ(VEGE UK)","10","85.00","95.00","100.00"
"Entra.5 Herbal Mixture","986","20.00","22.00","1,972.00"
"Entralyn Syrup (Baby)","10","15.00","0.00","-150.00"
"Entrance Antacid Susp","54","14.50","17.00","135.00"
"Epanol Syr 100ml","85","0.00","12.00","1,020.00"
"Ephedrine Nasal drop(aspee)","216","5.00","7.00","432.00"
"EPICROM 4% DROP","10","45.00","48.00","30.00"
"Epiderm 15G","26","5.51","6.50","25.74"
"Epiderm 30G","61","8.00","9.50","91.50"
"EPSON SALT","2550","1.00","1.20","510.00"
"ERNEST ANTISEPTIC M/W","37","12.80","15.00","81.40"
"Ernest Teething Mixture","20","12.50","15.00","50.00"
"ERTROKIN(ERTHROMACINE) TAB 250MG","50","8.60","11.00","120.00"
"ESKAGYL DS TAB 400MG","500","1.90","2.50","300.00"
"Eskaron Capsules","997","10.00","0.00","-9,970.00"
"Eskaron Syr","57","12.00","15.00","171.00"
"Eskypan Caps","80","10.00","7.00","-240.00"
"Eskyzole Cream","150","10.30","12.00","255.00"
"Etisala Capsules","8","10.00","0.00","-80.00"
"Etisala Syr","4","0.00","30.00","120.00"
"Eusol Lotion (Klire)","50","0.00","10.00","500.00"
"EVECARE CAPS","13","92.50","105.00","162.50"
"EXAFLOX INJ","20","13.80","18.00","84.00"
"Exodus Dandelion Capsules","10","115.00","115.00","0.00"
"Exodus Moringa Capsules","10","115.00","115.00","0.00"
"Expect SED (PPL)","23","5.00","5.00","0.00"
"expect sed solution(Adanseman)","83","3.80","5.00","99.60"
"Expect SED(Rockmer)","10","10.00","0.00","-100.00"
"EYECOPEN CAPS","10","57.59","65.00","74.10"
"Ezipen Tablets","109","3.63","4.00","40.33"
"FAC (Adanseman pharmarcy)","188","4.50","5.50","188.00"
"FAC Suspension(Rockmer)","10","10.00","0.00","-100.00"
"FAC(PPL)","10","10.00","0.00","-100.00"
"fama cold tab","2870","0.00","1.20","3,444.00"
"Fascam Capsules","90","0.00","3.00","270.00"
"father martin h mix","6","15.00","17.00","12.00"
"Felvin caps 20","1930","1.10","1.30","386.00"
"Fenbase Extra TAB","550","4.57","5.00","236.50"
"Ferofix Capsules","10","15.00","0.00","-150.00"
"feroglobin caps","10","75.50","85.00","95.00"
"feroglobin syrup","10","78.00","86.00","80.00"
"Ferolex Syrup","10","45.00","0.00","-450.00"
"Ferrocler Syrup(200ml)","8","0.00","42.00","336.00"
"Ferrodex Syrup","40","14.82","16.00","47.20"
"FERROFANT BABY DROP","18","45.00","50.00","90.00"
"Ferrofix Syrup","9","15.00","0.00","-135.00"
"FERROGLOBIN SYRUP","40","76.63","82.00","214.80"
"Ferrolex Syr","10","0.00","42.00","420.00"
"FERROLIFE SYRUP","25","23.40","28.00","115.00"
"Ferromed Syr","11","9.80","13.00","35.20"
"ferrous sulphate tab (letap)","620","0.56","0.80","148.80"
"Fewash","18","0.00","25.00","450.00"
"FINE FINE HERBAL","34","32.00","35.00","102.00"
"FINE LIFE TONIC","115","13.00","15.00","230.00"
"FINESTERIDE 5MG TAB","12","42.00","50.00","96.00"
"Fishermans Friends","10","18.00","0.00","-180.00"
"flexon 600 herbal mix","22","25.00","30.00","110.00"
"Fluclox susp (ESKAY)","60","9.50","12.00","150.00"
"Flucloxacillin Capsules (500MG) Ernest","124","14.00","16.00","248.00"
"Flucloxacillin Capsules Letap","485","2.80","3.50","339.50"
"Flucloxacillin Susp( Letap)","371","4.74","6.00","467.46"
"FLUCONAZOLE 150MG CAP(NEFLUCON)","391","3.10","4.00","351.90"
"fluconazole 150mg(Moniflu)","40","2.50","3.00","20.00"
"FLUCORON 200 CAP","318","2.50","3.50","318.00"
"FLUOXETINE 20MG TAB","5","19.80","24.00","21.00"
"FLUXACIN 500MG CAPS","100","14.00","16.00","200.00"
"FLUXAMOX 500MG CAPS","100","14.00","16.00","200.00"
"FLUXAMOX SUSP","60","25.80","28.00","132.00"
"Folic Acid (Shalom Pharmacy)","1113","0.40","0.50","111.30"
"FOLIC ACID TAB (ERNEST CHEMIST)","2850","0.34","0.50","456.00"
"FOLIC ACID TAB /LETAP","1245","0.18","0.25","87.15"
"Foligrow Plus Syrup","10","50.00","0.00","-500.00"
"Foligrow Syrup (200ml)","148","31.50","36.00","666.00"
"Foligrow Syrup (Junior)","10","25.00","0.00","-250.00"
"Foligrow Tab","32","0.00","28.00","896.00"
"foliron blood tonic","112","6.40","8.00","179.20"
"Foliron Syrup","89","6.40","8.00","142.40"
"Foliron Zinc Tab","143","0.00","2.00","286.00"
"Folivite Syrup","10","0.00","38.00","380.00"
"Fresh Herbal Mixture","1","35.00","0.00","-35.00"
"FUMET","275","0.00","7.00","1,925.00"
"Funbact A Cream","44","9.50","10.50","44.00"
"FUROSEMIDE 20MG LETAB","1950","0.00","0.90","1,755.00"
"FUROSEMIDE 20MG TAB (IPCA)","30","8.90","12.00","93.00"
"FUROSEMIDE 20MG TAB(EXETER)","20","14.00","17.00","60.00"
"furosemide tab 20mg crecent","2","8.45","12.00","7.10"
"G.V Paint 60ml (Adenseman)","10","3.00","0.00","-30.00"
"Gastro Mixture","1","24.00","26.00","2.00"
"Gastrone plain suspension","22","26.80","29.00","48.40"
"Gastrone plus suspension","28","29.80","32.00","61.60"
"GAUZE BANDAGE 6INCH /ASCOT PHARMACY","930","2.25","2.90","604.50"
"gauze pack","97","25.00","28.00","291.00"
"Gaviscon doubel action susp","7","114.59","130.00","107.87"
"Gbedemah caps","1","0.00","0.00","0.00"
"Gebedol Extra","170","42.90","4.80","-6,477.00"
"Gebedol Plus","270","2.90","3.50","162.00"
"Gebedol Tablets","972","2.54","2.91","359.64"
"Genecure","6","20.00","20.00","0.00"
"Gentamycin Inj (Eskay)","0","0.90","1.50","0.00"
"Gentamycin INJ (TROGE)","180","1.48","1.60","21.60"
"GENTAMYCINE DROP(GENDA)","52","4.80","6.00","62.40"
"gentian violet","630","1.90","2.50","378.00"
"Gifas Herbal Mixture","76","27.00","29.00","152.00"
"Gifas P Capsules","21","29.00","29.00","0.00"
"GIVEN SET (INFUSION SET)","50","5.20","7.00","90.00"
"Givers Herbal Mixture","57","28.00","30.00","114.00"
"Givers Koo Capsules","10","52.00","54.00","20.00"
"Givers P Capsules","14","52.00","54.00","28.00"
"glibenil 5mg tab","150","0.80","1.30","75.00"
